system:index,B10_count,B10_mean,B10_variance,B11_count,B11_mean,B11_variance,B12_count,B12_mean,B12_variance,B1_count,B1_mean,B1_variance,B2_count,B2_mean,B2_variance,B3_count,B3_mean,B3_variance,B4_count,B4_mean,B4_variance,B5_count,B5_mean,B5_variance,B6_count,B6_mean,B6_variance,B7_count,B7_mean,B7_variance,B8A_count,B8A_mean,B8A_variance,B8_count,B8_mean,B8_variance,B9_count,B9_mean,B9_variance,Block,CRC_count,CRC_mean,CRC_variance,DOY_count,DOY_mean,DOY_variance,EVI_count,EVI_mean,EVI_variance,GCVI_george_count,GCVI_george_mean,GCVI_george_variance,GCVI_mine_count,GCVI_mine_mean,GCVI_mine_variance,GPSID,ID,MTCI_count,MTCI_mean,MTCI_variance,NBR1_count,NBR1_mean,NBR1_variance,NBR2_count,NBR2_mean,NBR2_variance,NDTI_count,NDTI_mean,NDTI_variance,NDVI_george_count,NDVI_george_mean,NDVI_george_variance,NDVI_mine_count,NDVI_mine_mean,NDVI_mine_variance,QA10_count,QA10_mean,QA10_variance,QA20_count,QA20_mean,QA20_variance,QA60_count,QA60_mean,QA60_variance,RDGCVI_count,RDGCVI_mean,RDGCVI_variance,RDNDVI_count,RDNDVI_mean,RDNDVI_variance,RDTCI_count,RDTCI_mean,RDTCI_variance,RNDMTRACKID,SNDVI_count,SNDVI_mean,SNDVI_variance,STI_count,STI_mean,STI_variance,SUBID,Schedule_id,TOTID,TVI_count,TVI_mean,TVI_variance,Village,a2,a2_org,a3,a4,a5,a5_1,a5_2,a6,a6_1,a6_2,a7,a7_1,a7_1_1_r1,a7_1_1_r2,a7_1_1_r3,a7_1_1_r4,a7_2,a7_2_1_r1,a7_2_1_r2,a7_2_1_r3,a7_2_1_r4,a8,a9,a9_str,area,canopy,chemical,coordsetsn,description,district,doy,ex_description,ex_name,gps1,gps2,gpsfileid,granule_id,i1_district,i4_cocoid,intercroppingCrop,intercroppingPercent,isFertilizedType,isIntercropping,isWeeded,lodging,mstimestamp,name,noTimesIrrigated,noTimesWeeded,random,seedSource,seedVariety,swi,weedCoverPercent,yield,yieldLevel100Break,yieldLevelColors,.geo
20161206T044142_20161206T044556_T45RVH_40,2,15.0,0.0,2,3502.0,0.0,2,3270.0,0.0,2,1854.0,0.0,2,1741.5,180.5,2,1731.5,760.5,2,1914.5,1860.5,2,1916.0,0.0,2,2108.0,0.0,2,2286.0,0.0,2,2364.0,0.0,2,2182.5,760.5,2,611.0,0.0,30.0,2,338.0,50.0,2,341.0,0.0,2,1163.0,175232.0,2,260.0,18.0,2,260.0,18.0,P 81,307_0,2,-1072.0,1.545282E8,2,-231.5,40.5,2,-199.0,32.0,2,34.0,0.0,2,64.5,24.5,2,64.5,24.5,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,138.5,220.5,2,64.5,40.5,2,-1072.0,1.545282E8,356142.0,2,64.5,24.5,2,1070.0,0.0,2974.0,1.08041304E8,TRACK356142_SUB2974,2,8760000.0,2.42E12,97.0,2.5112016E7,2511.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.0,2.0,NO,191.81491559409838,,5.0,2.0,,Purnia,341,,,2.0170213E7,154624.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,703159.0,,,YES Both,NO,YES,3.0,1480999556001,,3.0,3.0,0.2974320338044014,purchased seeds,Lakmanya,0.0,>50%,280.08,3.0,6C9223,
20161206T044142_20161206T044556_T45RVH_192,1,12.0,,1,2697.0,,1,1881.0,,1,1573.0,,1,1362.0,,1,1240.0,,1,1160.0,,1,1408.0,,1,1856.0,,1,2071.0,,1,2282.0,,1,1994.0,,1,706.0,,30.0,1,370.0,,1,341.0,,1,-1654.0,,1,608.0,,1,608.0,,P 80,310_1,1,2362.0,,1,-149.0,,1,29.0,,1,178.0,,1,264.0,,1,264.0,,1,0.0,,1,0.0,,1,0.0,,1,416.0,,1,172.0,,1,2362.0,,530399.0,1,264.0,,1,1433.0,,8618.0,1.08041303E8,TRACK530399_SUB8618,1,5.324E7,,97.0,1.2122016E7,1212.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,NO,155.46076007593504,,5.0,3.0,,Purnia,341,,,2.0170213E7,163133.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,703208.0,,,YES Both,NO,YES,3.0,1480999556001,,2.0,1.0,0.8618590316215511,purchased seeds,Lakmanya,1.0,>50%,307.9,4.0,89751C,
20161206T044142_20161206T044556_T45RVH_42,7,10.0,0.0,7,2340.714285714286,45779.90476190423,7,1628.142857142857,132274.14285714304,7,1612.0,0.0,7,1362.142857142857,7806.142857142724,7,1249.7142857142858,9397.238095238185,7,1113.0,46049.666666666664,7,1270.5714285714287,22059.285714285757,7,1941.0,11497.666666666666,7,2271.5714285714284,28454.952380952735,7,2474.714285714286,45864.23809523756,7,2332.8571428571427,70851.14285714303,7,601.0,0.0,30.0,7,302.85714285714283,513.14285714286,7,341.0,0.0,7,-2514.1428571428573,324346.142857143,7,889.1428571428571,124969.47619047621,7,889.1428571428571,124969.47619047621,P 83,308_0,7,4429.714285714285,6.505286590476191E7,7,-2.7142857142857144,8872.904761904761,7,181.28571428571428,23335.238095238095,7,187.42857142857142,4593.952380952382,7,351.85714285714283,18089.476190476194,7,351.85714285714283,18089.476190476194,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,7,871.8571428571429,157553.4761904762,7,291.85714285714283,9433.14285714286,7,4429.714285714285,6.505286590476191E7,484330.0,7,351.85714285714283,18089.476190476194,7,1477.857142857143,45867.142857142724,2235.0,1.08041306E8,TRACK484330_SUB2235,7,7.866E7,1.0927073333333334E15,97.0,2.6112016E7,2611.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,NO,609.7702893481202,PARTIAL,6.0,1.0,,Purnia,341,,,2.0170213E7,160107.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,703162.0,,,YES Both,NO,YES,3.0,1480999556001,,1.0,2.0,0.2235157136539624,purchased seeds,Lakmanya,0.0,>50%,287.35,3.0,6C9223,
20161206T044142_20161206T044556_T45RVH_44,4,10.5,0.3333333333333333,4,2484.25,4298.25,4,1977.25,6808.25,4,1682.5,120.33333333333333,4,1438.0,983.3333333333334,4,1310.25,622.25,4,1326.25,2306.25,4,1405.25,5504.25,4,1619.75,12588.25,4,1757.25,13413.583333333334,4,1873.25,25568.916666666668,4,1622.0,3496.6666666666665,4,574.0,85.33333333333333,30.0,4,309.0,18.0,4,341.0,0.0,4,-629.25,33619.583333333336,4,237.5,944.3333333333334,4,237.5,944.3333333333334,P 82,309_1,4,3810.75,1.0867552916666666E7,4,-209.25,144.91666666666666,4,-98.0,995.3333333333334,4,113.0,385.3333333333333,4,99.75,264.9166666666667,4,99.75,264.9166666666667,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,154.75,1756.25,4,71.25,331.5833333333333,4,3810.75,1.0867552916666666E7,672336.0,4,99.75,264.9166666666667,4,1257.25,2535.5833333333335,3726.0,1.08041305E8,TRACK672336_SUB3726,4,1.7105E7,1.3160366666666666E13,97.0,1.1122016E7,1112.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,2.0,NO,371.36780071956395,,7.0,2.0,,Purnia,341,,,2.0170213E7,161109.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,703164.0,,,YES Both,NO,YES,3.0,1480999556001,,1.0,2.0,0.3726292245499878,purchased seeds,Lakmanya,0.0,>50%,282.71,3.0,6C9223,
20161206T044142_20161206T044556_T45RVH_45,2,12.0,0.0,2,2273.0,0.0,2,1384.0,0.0,2,1573.0,0.0,2,1307.0,6050.0,2,1180.0,3872.0,2,973.5,13944.5,2,1143.0,0.0,2,2204.0,0.0,2,2683.0,0.0,2,2987.0,0.0,2,2603.0,5408.0,2,706.0,0.0,30.0,2,316.0,578.0,2,341.0,0.0,2,-3027.0,130050.0,2,1207.0,2888.0,2,1207.0,2888.0,P 78,312_0,2,11573.0,7.2192128E7,2,67.0,200.0,2,305.0,162.0,2,243.0,0.0,2,456.0,1352.0,2,456.0,1352.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,1276.5,4140.5,2,389.5,144.5,2,11573.0,7.2192128E7,2755.0,2,456.0,1352.0,2,1642.0,0.0,1102.0,1.08041301E8,TRACK2755_SUB1102,2,1.0603E8,2.40818E13,97.0,2.5112016E7,2511.0,2.0,19.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,2.0,NO,158.4879358156609,,5.0,1.0,,Purnia,341,,,2.0170213E7,164010.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,702528.0,,,YES Both,NO,YES,0.0,1480999556001,,2.0,1.0,0.11023390804372468,purchased seeds,Lakmanya,0.0,>50%,,,,
20161206T044142_20161206T044556_T45RVH_195,2,13.0,0.0,2,2445.5,420.5,2,1864.5,1300.5,2,1837.0,0.0,2,1539.0,128.0,2,1432.5,924.5,2,1290.5,112.5,2,1512.0,162.0,2,2034.0,53792.0,2,2206.5,89464.5,2,2338.0,102152.0,2,2084.5,23544.5,2,555.0,0.0,30.0,2,261.0,32.0,2,341.0,0.0,2,-1169.0,89042.0,2,454.0,5832.0,2,454.0,5832.0,P 74,306_1,2,2581.5,372384.5,2,-80.0,1058.0,2,54.5,2112.5,2,134.5,180.5,2,234.0,968.0,2,234.0,968.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,377.5,8064.5,2,157.5,1012.5,2,2581.5,372384.5,987084.0,2,234.0,968.0,2,1311.5,1300.5,3746.0,1.08041201E8,TRACK987084_SUB3746,2,5.332E7,8.76488E13,96.0,2.4112016E7,2411.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2.0,2.0,NO,181.58736717834503,,4.0,2.0,,Purnia,341,,,2.0170213E7,122455.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,907401.0,,,YES Both,NO,YES,3.0,1480999556001,,2.0,1.0,0.3746930247476329,purchased seeds,Lakmanya,1.0,>50%,381.44,4.0,89751C,
20161206T044142_20161206T044556_T45RVH_46,1,14.0,,1,2831.0,,1,2393.0,,1,1816.0,,1,1679.0,,1,1624.0,,1,1643.0,,1,1751.0,,1,1980.0,,1,2142.0,,1,2302.0,,1,2048.0,,1,563.0,,30.0,1,270.0,,1,341.0,,1,-1477.0,,1,261.0,,1,261.0,,P 77,305_0,1,2750.0,,1,-160.0,,1,-77.0,,1,83.0,,1,109.0,,1,109.0,,1,0.0,,1,0.0,,1,0.0,,1,169.0,,1,78.0,,1,2750.0,,776971.0,1,109.0,,1,1183.0,,3575.0,1.08041204E8,TRACK776971_SUB3575,1,2.354E7,,96.0,1.2112016E7,1211.0,2.0,19.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,2.0,2.0,NO,100.19997883488747,,7.0,2.0,,Purnia,341,,,2.0170213E7,114521.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,907445.0,,,YES Both,NO,YES,3.0,1480999556001,,2.0,2.0,0.357584393638552,purchased seeds,Lakmanya,1.0,>50%,443.43,5.0,A75715,
20161206T044142_20161206T044556_T45RVH_197,2,14.0,0.0,2,2811.0,800.0,2,2377.0,512.0,2,1816.0,0.0,2,1723.0,242.0,2,1642.5,112.5,2,1662.5,12.5,2,1728.0,1058.0,2,1976.0,32.0,2,2130.5,264.5,2,2263.0,3042.0,2,2046.5,24.5,2,563.0,0.0,30.0,2,262.0,2.0,2,341.0,0.0,2,-1074.5,20604.5,2,245.5,112.5,2,245.5,112.5,P 75,304_1,2,5530.5,9120720.5,2,-157.0,32.0,2,-74.0,32.0,2,83.0,0.0,2,103.0,8.0,2,103.0,8.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,184.0,648.0,2,83.5,112.5,2,5530.5,9120720.5,526799.0,2,103.0,8.0,2,1182.5,0.5,1995.0,1.08041202E8,TRACK526799_SUB1995,2,2.224E7,5.12E10,96.0,2.0112016E7,2011.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,NO,179.25947547052914,,6.0,2.0,,Purnia,341,,,2.0170213E7,112155.0,6.364482762816E17,L1C_T45RWH_A007609_20161206T044556,8.0,870731.0,,,YES Both,NO,YES,3.0,1480999556001,,1.0,1.0,0.19958392042341178,used own seed,Lakmanya,1.0,>50%,403.46,5.0,A75715,
20161216T044202_20161216T044549_T45RWH_40,2,12.0,0.0,2,3440.0,0.0,2,3168.0,0.0,2,1837.0,0.0,2,1684.5,84.5,2,1637.0,50.0,2,1771.0,1152.0,2,1806.0,0.0,2,1981.0,0.0,2,2172.0,0.0,2,2283.0,0.0,2,2053.5,264.5,2,503.0,0.0,30.0,2,354.5,4.5,2,351.0,0.0,2,-3947.0,1.39244672E8,2,254.0,18.0,2,254.0,18.0,P 81,307_0,2,13772.5,1.910035125E8,2,-252.0,18.0,2,-213.0,18.0,2,41.0,0.0,2,73.0,32.0,2,73.0,32.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,136.5,84.5,2,63.5,12.5,2,13772.5,1.910035125E8,356142.0,2,73.0,32.0,2,1085.0,0.0,2974.0,1.08041304E8,TRACK356142_SUB2974,2,1.159E7,4.5602E12,97.0,2.5112016E7,2511.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,3.0,2.0,NO,191.81491559409838,,5.0,2.0,,Purnia,351,,,2.0170213E7,154624.0,6.364482762816E17,L1C_T45RWK_A007752_20161216T044549,8.0,703159.0,,,YES Both,NO,YES,3.0,1481863549143,,3.0,3.0,0.2974320338044014,purchased seeds,Lakmanya,0.0,>50%,280.08,3.0,6C9223,
20161216T044202_20161216T044549_T45RWH_192,1,13.0,,1,2824.0,,1,2382.0,,1,1658.0,,1,1545.0,,1,1444.0,,1,1503.0,,1,1524.0,,1,1768.0,,1,1952.0,,1,2081.0,,1,1854.0,,1,531.0,,30.0,1,323.0,,1,351.0,,1,-1228.0,,1,283.0,,1,283.0,,P 80,310_1,1,15714.0,,1,-207.0,,1,-124.0,,1,84.0,,1,104.0,,1,104.0,,1,0.0,,1,0.0,,1,0.0,,1,216.0,,1,97.0,,1,15714.0,,530399.0,1,104.0,,1,1185.0,,8618.0,1.08041303E8,TRACK530399_SUB8618,1,1.87E7,,97.0,1.2122016E7,1212.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,NO,155.46076007593504,,5.0,3.0,,Purnia,351,,,2.0170213E7,163133.0,6.364482762816E17,L1C_T45RWK_A007752_20161216T044549,8.0,703208.0,,,YES Both,NO,YES,3.0,1481863549143,,2.0,1.0,0.8618590316215511,purchased seeds,Lakmanya,1.0,>50%,307.9,4.0,89751C,
