system:index,B10_count,B10_mean,B10_variance,B11_count,B11_mean,B11_variance,B12_count,B12_mean,B12_variance,B1_count,B1_mean,B1_variance,B2_count,B2_mean,B2_variance,B3_count,B3_mean,B3_variance,B4_count,B4_mean,B4_variance,B5_count,B5_mean,B5_variance,B6_count,B6_mean,B6_variance,B7_count,B7_mean,B7_variance,B8A_count,B8A_mean,B8A_variance,B8_count,B8_mean,B8_variance,B9_count,B9_mean,B9_variance,Block,DOY_count,DOY_mean,DOY_variance,GCVI_count,GCVI_mean,GCVI_variance,GPSID,ID,NDVI_count,NDVI_mean,NDVI_variance,QA10_count,QA10_mean,QA10_variance,QA20_count,QA20_mean,QA20_variance,QA60_count,QA60_mean,QA60_variance,RNDMTRACKID,SUBID,Schedule_id,TOTID,Village,a2,a2_org,a3,a4,a5,a5_1,a5_2,a6,a6_1,a6_2,a7,a7_1,a7_1_1_r1,a7_1_1_r2,a7_1_1_r3,a7_1_1_r4,a7_2,a7_2_1_r1,a7_2_1_r2,a7_2_1_r3,a7_2_1_r4,a8,a9,a9_str,area,canopy,chemical,coordsetsn,description,district,ex_description,ex_name,gps1,gps2,gpsfileid,i1_district,i4_cocoid,intercroppingCrop,intercroppingPercent,isFertilizedType,isIntercropping,isWeeded,lodging,mstimestamp,name,noTimesIrrigated,noTimesWeeded,random,seedSource,seedVariety,swi,weedCoverPercent,yield,yieldLevel100Break,yieldLevelColors,.geo
20161206T044142_20161206T044556_T45RVH_40,2,15,0,2,3502,0,2,3270,0,2,1854,0,2,1741.5,180.5,2,1731.5,760.5,2,1914.5,1860.5,2,1916,0,2,2108,0,2,2286,0,2,2364,0,2,2182.5,760.5,2,611,0,30,2,341,0,2,260,18,P 81,307_0,2,64.5,24.5,2,0,0,2,0,0,2,0,0,356142,2974,1.08E+08,TRACK356142_SUB2974,97,2.51E+07,2511,2,2,2,0,0,1,3,3,3,2,3,2,0,0,1,20,0,0,0,3,2,NO,191.8149156,,5,2,,Purnia,,,2.02E+07,154624,6.36E+17,8,703159,,,YES Both,NO,YES,3,1.481E+12,,3,3,0.297432034,purchased seeds,Lakmanya,0,>50%,280.08,3,6C9223,
20161206T044142_20161206T044556_T45RVH_192,1,12,,1,2697,,1,1881,,1,1573,,1,1362,,1,1240,,1,1160,,1,1408,,1,1856,,1,2071,,1,2282,,1,1994,,1,706,,30,1,341,,1,608,,P 80,310_1,1,264,,1,0,,1,0,,1,0,,530399,8618,1.08E+08,TRACK530399_SUB8618,97,1.21E+07,1212,2,2,2,0,0,1,1,3,3,2,3,2,0,0,1,2,0,0,0,2,2,NO,155.4607601,,5,3,,Purnia,,,2.02E+07,163133,6.36E+17,8,703208,,,YES Both,NO,YES,3,1.481E+12,,2,1,0.861859032,purchased seeds,Lakmanya,1,>50%,307.9,4,89751C,
20161206T044142_20161206T044556_T45RVH_42,7,10,0,7,2340.714286,45779.90476,7,1628.142857,132274.1429,7,1612,0,7,1362.142857,7806.142857,7,1249.714286,9397.238095,7,1113,46049.66667,7,1270.571429,22059.28571,7,1941,11497.66667,7,2271.571429,28454.95238,7,2474.714286,45864.2381,7,2332.857143,70851.14286,7,601,0,30,7,341,0,7,889.1428571,124969.4762,P 83,308_0,7,351.8571429,18089.47619,7,0,0,7,0,0,7,0,0,484330,2235,1.08E+08,TRACK484330_SUB2235,97,2.61E+07,2611,2,2,2,0,0,1,2,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,609.7702893,PARTIAL,6,1,,Purnia,,,2.02E+07,160107,6.36E+17,8,703162,,,YES Both,NO,YES,3,1.481E+12,,1,2,0.223515714,purchased seeds,Lakmanya,0,>50%,287.35,3,6C9223,
20161206T044142_20161206T044556_T45RVH_44,4,10.5,0.333333333,4,2484.25,4298.25,4,1977.25,6808.25,4,1682.5,120.3333333,4,1438,983.3333333,4,1310.25,622.25,4,1326.25,2306.25,4,1405.25,5504.25,4,1619.75,12588.25,4,1757.25,13413.58333,4,1873.25,25568.91667,4,1622,3496.666667,4,574,85.33333333,30,4,341,0,4,237.5,944.3333333,P 82,309_1,4,99.75,264.9166667,4,0,0,4,0,0,4,0,0,672336,3726,1.08E+08,TRACK672336_SUB3726,97,1.11E+07,1112,2,2,2,0,0,1,2,3,3,2,5,2,0,0,1,15,0,0,0,1,2,NO,371.3678007,,7,2,,Purnia,,,2.02E+07,161109,6.36E+17,8,703164,,,YES Both,NO,YES,3,1.481E+12,,1,2,0.372629225,purchased seeds,Lakmanya,0,>50%,282.71,3,6C9223,
20161206T044142_20161206T044556_T45RVH_45,2,12,0,2,2273,0,2,1384,0,2,1573,0,2,1307,6050,2,1180,3872,2,973.5,13944.5,2,1143,0,2,2204,0,2,2683,0,2,2987,0,2,2603,5408,2,706,0,30,2,341,0,2,1207,2888,P 78,312_0,2,456,1352,2,0,0,2,0,0,2,0,0,2755,1102,1.08E+08,TRACK2755_SUB1102,97,2.51E+07,2511,2,19,2,0,0,1,1,3,3,2,3,2,0,0,1,10,0,0,0,2,2,NO,158.4879358,,5,1,,Purnia,,,2.02E+07,164010,6.36E+17,8,702528,,,YES Both,NO,YES,0,1.481E+12,,2,1,0.110233908,purchased seeds,Lakmanya,0,>50%,,,,
20161206T044142_20161206T044556_T45RVH_195,2,13,0,2,2445.5,420.5,2,1864.5,1300.5,2,1837,0,2,1539,128,2,1432.5,924.5,2,1290.5,112.5,2,1512,162,2,2034,53792,2,2206.5,89464.5,2,2338,102152,2,2084.5,23544.5,2,555,0,30,2,341,0,2,454,5832,P 74,306_1,2,234,968,2,0,0,2,0,0,2,0,0,987084,3746,1.08E+08,TRACK987084_SUB3746,96,2.41E+07,2411,2,2,2,0,0,1,1,3,3,2,2,2,0,0,1,10,0,0,0,2,2,NO,181.5873672,,4,2,,Purnia,,,2.02E+07,122455,6.36E+17,8,907401,,,YES Both,NO,YES,3,1.481E+12,,2,1,0.374693025,purchased seeds,Lakmanya,1,>50%,381.44,4,89751C,
20161206T044142_20161206T044556_T45RVH_46,1,14,,1,2831,,1,2393,,1,1816,,1,1679,,1,1624,,1,1643,,1,1751,,1,1980,,1,2142,,1,2302,,1,2048,,1,563,,30,1,341,,1,261,,P 77,305_0,1,109,,1,0,,1,0,,1,0,,776971,3575,1.08E+08,TRACK776971_SUB3575,96,1.21E+07,1211,2,19,2,0,0,1,2,3,3,2,4,3,0,0,1,40,0,0,0,2,2,NO,100.1999788,,7,2,,Purnia,,,2.02E+07,114521,6.36E+17,8,907445,,,YES Both,NO,YES,3,1.481E+12,,2,2,0.357584394,purchased seeds,Lakmanya,1,>50%,443.43,5,A75715,
20161206T044142_20161206T044556_T45RVH_197,2,14,0,2,2811,800,2,2377,512,2,1816,0,2,1723,242,2,1642.5,112.5,2,1662.5,12.5,2,1728,1058,2,1976,32,2,2130.5,264.5,2,2263,3042,2,2046.5,24.5,2,563,0,30,2,341,0,2,245.5,112.5,P 75,304_1,2,103,8,2,0,0,2,0,0,2,0,0,526799,1995,1.08E+08,TRACK526799_SUB1995,96,2.01E+07,2011,1,2,2,0,0,1,1,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,179.2594755,,6,2,,Purnia,,,2.02E+07,112155,6.36E+17,8,870731,,,YES Both,NO,YES,3,1.481E+12,,1,1,0.19958392,used own seed,Lakmanya,1,>50%,403.46,5,A75715,
20161216T044202_20161216T044549_T45RWH_40,2,12,0,2,3440,0,2,3168,0,2,1837,0,2,1684.5,84.5,2,1637,50,2,1771,1152,2,1806,0,2,1981,0,2,2172,0,2,2283,0,2,2053.5,264.5,2,503,0,30,2,351,0,2,254,18,P 81,307_0,2,73,32,2,0,0,2,0,0,2,0,0,356142,2974,1.08E+08,TRACK356142_SUB2974,97,2.51E+07,2511,2,2,2,0,0,1,3,3,3,2,3,2,0,0,1,20,0,0,0,3,2,NO,191.8149156,,5,2,,Purnia,,,2.02E+07,154624,6.36E+17,8,703159,,,YES Both,NO,YES,3,1.48186E+12,,3,3,0.297432034,purchased seeds,Lakmanya,0,>50%,280.08,3,6C9223,
20161216T044202_20161216T044549_T45RWH_192,1,13,,1,2824,,1,2382,,1,1658,,1,1545,,1,1444,,1,1503,,1,1524,,1,1768,,1,1952,,1,2081,,1,1854,,1,531,,30,1,351,,1,283,,P 80,310_1,1,104,,1,0,,1,0,,1,0,,530399,8618,1.08E+08,TRACK530399_SUB8618,97,1.21E+07,1212,2,2,2,0,0,1,1,3,3,2,3,2,0,0,1,2,0,0,0,2,2,NO,155.4607601,,5,3,,Purnia,,,2.02E+07,163133,6.36E+17,8,703208,,,YES Both,NO,YES,3,1.48186E+12,,2,1,0.861859032,purchased seeds,Lakmanya,1,>50%,307.9,4,89751C,
20161216T044202_20161216T044549_T45RWH_42,7,13,0,7,2386.142857,88859.14286,7,1688.428571,155959.2857,7,1654,0,7,1356.857143,9104.47619,7,1236.285714,13190.57143,7,1103.285714,50278.2381,7,1248.142857,27990.14286,7,1918.428571,3986.952381,7,2230.714286,17467.90476,7,2407.285714,20256.2381,7,2227.857143,52002.14286,7,484,0,30,7,351,0,7,826.5714286,110855.9524,P 83,308_0,7,337.4285714,17761.61905,7,0,0,7,0,0,7,0,0,484330,2235,1.08E+08,TRACK484330_SUB2235,97,2.61E+07,2611,2,2,2,0,0,1,2,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,609.7702893,PARTIAL,6,1,,Purnia,,,2.02E+07,160107,6.36E+17,8,703162,,,YES Both,NO,YES,3,1.48186E+12,,1,2,0.223515714,purchased seeds,Lakmanya,0,>50%,287.35,3,6C9223,
20161216T044202_20161216T044549_T45RWH_44,4,14.5,0.333333333,4,2700.5,1091.666667,4,2288.5,2627.666667,4,1713.5,176.3333333,4,1502.75,127.5833333,4,1384.5,649,4,1406.5,945,4,1450,160.6666667,4,1647.25,216.9166667,4,1804.75,510.9166667,4,1930.5,1971,4,1722,968.6666667,4,469,65.33333333,30,4,351,0,4,243.25,307.5833333,P 82,309_1,4,100.5,75,4,0,0,4,0,0,4,0,0,672336,3726,1.08E+08,TRACK672336_SUB3726,97,1.11E+07,1112,2,2,2,0,0,1,2,3,3,2,5,2,0,0,1,15,0,0,0,1,2,NO,371.3678007,,7,2,,Purnia,,,2.02E+07,161109,6.36E+17,8,703164,,,YES Both,NO,YES,3,1.48186E+12,,1,2,0.372629225,purchased seeds,Lakmanya,0,>50%,282.71,3,6C9223,
20161216T044202_20161216T044549_T45RWH_45,2,13,0,2,2345,0,2,1420,0,2,1658,0,2,1338,4050,2,1226.5,6844.5,2,1002.5,21840.5,2,1201,0,2,2174,0,2,2707,0,2,2967,0,2,2477,2450,2,531,0,30,2,351,0,2,1022,9248,P 78,312_0,2,425,2738,2,0,0,2,0,0,2,0,0,2755,1102,1.08E+08,TRACK2755_SUB1102,97,2.51E+07,2511,2,19,2,0,0,1,1,3,3,2,3,2,0,0,1,10,0,0,0,2,2,NO,158.4879358,,5,1,,Purnia,,,2.02E+07,164010,6.36E+17,8,702528,,,YES Both,NO,YES,0,1.48186E+12,,2,1,0.110233908,purchased seeds,Lakmanya,0,>50%,,,,
20161216T044202_20161216T044549_T45RWH_195,2,12,0,2,2243,512,2,1616,200,2,1752,0,2,1426,648,2,1320,288,2,1096,3872,2,1371.5,40.5,2,2052,20000,2,2259.5,33540.5,2,2374.5,17484.5,2,2192,2738,2,481,0,30,2,351,0,2,660,338,P 74,306_1,2,333,200,2,0,0,2,0,0,2,0,0,987084,3746,1.08E+08,TRACK987084_SUB3746,96,2.41E+07,2411,2,2,2,0,0,1,1,3,3,2,2,2,0,0,1,10,0,0,0,2,2,NO,181.5873672,,4,2,,Purnia,,,2.02E+07,122455,6.36E+17,8,907401,,,YES Both,NO,YES,3,1.48186E+12,,2,1,0.374693025,purchased seeds,Lakmanya,1,>50%,381.44,4,89751C,
20161216T044202_20161216T044549_T45RWH_46,1,13,,1,2595,,1,2110,,1,1698,,1,1557,,1,1478,,1,1424,,1,1530,,1,1839,,1,2032,,1,2119,,1,1919,,1,501,,30,1,351,,1,298,,P 77,305_0,1,148,,1,0,,1,0,,1,0,,776971,3575,1.08E+08,TRACK776971_SUB3575,96,1.21E+07,1211,2,19,2,0,0,1,2,3,3,2,4,3,0,0,1,40,0,0,0,2,2,NO,100.1999788,,7,2,,Purnia,,,2.02E+07,114521,6.36E+17,8,907445,,,YES Both,NO,YES,3,1.48186E+12,,2,2,0.357584394,purchased seeds,Lakmanya,1,>50%,443.43,5,A75715,
20161216T044202_20161216T044549_T45RWH_197,2,13,0,2,2590,50,2,2139,1682,2,1698,0,2,1579.5,84.5,2,1492.5,0.5,2,1489,18,2,1523.5,84.5,2,1814,1250,2,1993.5,2964.5,2,2088.5,1860.5,2,1894.5,60.5,2,501,0,30,2,351,0,2,269,32,P 75,304_1,2,119.5,12.5,2,0,0,2,0,0,2,0,0,526799,1995,1.08E+08,TRACK526799_SUB1995,96,2.01E+07,2011,1,2,2,0,0,1,1,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,179.2594755,,6,2,,Purnia,,,2.02E+07,112155,6.36E+17,8,870731,,,YES Both,NO,YES,3,1.48186E+12,,1,1,0.19958392,used own seed,Lakmanya,1,>50%,403.46,5,A75715,
20161222T050222_20161222T050600_T44RRN_6,8,9.5,0.285714286,8,1577,305.7142857,8,897.625,2255.410714,8,2557.5,36.28571429,8,2321.125,132.125,8,2084.25,38.78571429,8,1954.5,111.1428571,8,1939.375,143.6964286,8,2227.5,310,8,2368.875,353.5535714,8,2409.25,432.2142857,8,2156.75,381.9285714,8,466.875,179.2678571,15,8,357,0,8,34.375,75.98214286,Mf 59,186_0,8,48.75,28.5,8,0,0,8,0,0,8,0,0,246735,8743,1.05E+08,TRACK246735_SUB8743,51,2.11E+07,2111,2,2,2,0,0,1,1,3,3,3,4,2,1,0,1,10,0,0,0,2,2,NO,773.0659201,,7,2,,Muzaffarpur,,,2.02E+07,161800,6.36E+17,5,902751,,,YES Both,NO,YES,2,1.48238E+12,,2,1,0.87436549,purchased seeds,Lal bhadur,0,>50%,255.2,3,6C9223,
20161222T050222_20161222T050600_T44RRN_266,8,13,0,8,2468.5,10552.28571,8,1751,9358.285714,8,2762,0,8,2592.625,274.2678571,8,2405.375,429.6964286,8,2406.625,2823.982143,8,2384.25,1225.071429,8,2604.5,2014.285714,8,2779.25,3866.785714,8,2890,6549.428571,8,2582.75,3234.214286,8,551,0,15,8,357,0,8,73,260.8571429,Mf 60,187_1,8,34.75,32.5,8,0,0,8,0,0,8,0,0,200998,702,1.05E+08,TRACK200998_SUB702,51,2.61E+07,2611,2,23,1,1,1,1,1,3,3,3,4,2,2,0,1,10,0,0,0,2,2,NO,729.410022,,8,2,,Muzaffarpur,,,2.02E+07,165339,6.36E+17,5,902762,mustard,<25%,YES Both,YES,YES,3,1.48238E+12,,2,1,0.070212842,purchased seeds,Lal bhadur,0,>50%,344.77,4,89751C,
20161222T050222_20161222T050600_T44RRN_8,21,12.57142857,0.257142857,21,1754.238095,9765.890476,21,1329.380952,16324.24762,21,2526.142857,37.02857143,21,2284.047619,132.547619,21,2029.857143,236.2285714,21,1890.095238,285.3904762,21,1865.666667,479.2333333,21,2118.47619,174.4619048,21,2258.142857,286.6285714,21,2289.52381,310.8619048,21,2065.238095,697.2904762,21,442.5714286,0.257142857,15,21,357,0,21,17.0952381,164.4904762,Mf 63,189_0,21,43.71428571,28.31428571,21,0,0,21,0,0,21,0,0,304501,2475,1.05E+08,TRACK304501_SUB2475,51,2.11E+07,2111,2,22,1,1,1,1,1,3,3,3,4,2,1,0,1,20,0,0,0,2,2,NO,1934.155145,,7,2,,Muzaffarpur,,,2.02E+07,170835,6.36E+17,5,902722,mustard,<25%,YES Both,YES,YES,3,1.48238E+12,,2,1,0.247579347,purchased seeds,Lal bhadur,0,>50%,271.02,3,6C9223,
20161222T050222_20161222T050600_T44RRN_10,4,9.5,0.333333333,4,1510.5,1323,4,818,645.3333333,4,2428.5,40.33333333,4,2168.25,268.25,4,1944,146.6666667,4,1738.25,98.25,4,1770,48,4,2318,533.3333333,4,2548,432,4,2696,901.3333333,4,2394.75,226.9166667,4,480,12,15,4,357,0,4,231.5,113.6666667,Mf 50,164_0,4,158.25,18.91666667,4,0,0,4,0,0,4,0,0,400730,7639,1.05E+08,TRACK400730_SUB7639,50,2.01E+07,2011,3,19,2,0,0,1,1,3,3,3,2,2,2,0,1,10,0,0,0,2,2,NO,360.1590952,,6,1,,Muzaffarpur,,,2.02E+07,144055,6.36E+17,5,1980422,,,YES Both,NO,YES,3,1.48238E+12,,2,1,0.763907913,Through Jeevika,Lal bhadur,0,>50%,462.66,5,A75715,
